player,card_name,sport,year,base_psa9,rarity,autograph,image_filename_png,image_filename_jpg,data_note
Connor Bedard,Upper Deck Young Guns RC,Hockey,2023,220,Rare,No,connor-bedard-upper-deck-young-guns-rc.png,connor-bedard-upper-deck-young-guns-rc.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Connor Bedard,Upper Deck Canvas Young Guns,Hockey,2023,80,Rare,No,connor-bedard-upper-deck-canvas-young-guns.png,connor-bedard-upper-deck-canvas-young-guns.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Connor Bedard,SP Authentic Future Watch Auto,Hockey,2023,1200,Ultra Rare,Yes,connor-bedard-sp-authentic-future-watch-auto.png,connor-bedard-sp-authentic-future-watch-auto.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Auston Matthews,Upper Deck Young Guns RC,Hockey,2016,170,Rare,No,auston-matthews-upper-deck-young-guns-rc.png,auston-matthews-upper-deck-young-guns-rc.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Auston Matthews,O-Pee-Chee Platinum Rookie,Hockey,2016,110,Rare,No,auston-matthews-o-pee-chee-platinum-rookie.png,auston-matthews-o-pee-chee-platinum-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Sidney Crosby,Upper Deck Young Guns RC,Hockey,2005,550,Rare,No,sidney-crosby-upper-deck-young-guns-rc.png,sidney-crosby-upper-deck-young-guns-rc.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Sidney Crosby,SP Authentic Future Watch Auto,Hockey,2005,1800,Ultra Rare,Yes,sidney-crosby-sp-authentic-future-watch-auto.png,sidney-crosby-sp-authentic-future-watch-auto.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Wayne Gretzky,O-Pee-Chee Rookie,Hockey,1979,27000,Iconic,No,wayne-gretzky-o-pee-chee-rookie.png,wayne-gretzky-o-pee-chee-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Wayne Gretzky,Topps Rookie,Hockey,1979,6500,Iconic,No,wayne-gretzky-topps-rookie.png,wayne-gretzky-topps-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Victor Wembanyama,Panini Prizm Rookie,Basketball,2023,180,Rare,No,victor-wembanyama-panini-prizm-rookie.png,victor-wembanyama-panini-prizm-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Victor Wembanyama,Donruss Rated Rookie,Basketball,2023,60,Uncommon,No,victor-wembanyama-donruss-rated-rookie.png,victor-wembanyama-donruss-rated-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Victor Wembanyama,NBA Hoops Rookie,Basketball,2023,35,Common,No,victor-wembanyama-nba-hoops-rookie.png,victor-wembanyama-nba-hoops-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
LeBron James,Topps Chrome Rookie,Basketball,2003,2200,Rare,No,lebron-james-topps-chrome-rookie.png,lebron-james-topps-chrome-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
LeBron James,Topps Rookie,Basketball,2003,900,Rare,No,lebron-james-topps-rookie.png,lebron-james-topps-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
LeBron James,Upper Deck Rookie Exclusives,Basketball,2003,380,Uncommon,No,lebron-james-upper-deck-rookie-exclusives.png,lebron-james-upper-deck-rookie-exclusives.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Michael Jordan,Fleer Rookie,Basketball,1986,18000,Iconic,No,michael-jordan-fleer-rookie.png,michael-jordan-fleer-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Kobe Bryant,Topps Rookie,Basketball,1996,500,Rare,No,kobe-bryant-topps-rookie.png,kobe-bryant-topps-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Kobe Bryant,Finest Rookie,Basketball,1996,900,Rare,No,kobe-bryant-finest-rookie.png,kobe-bryant-finest-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Shohei Ohtani,Topps Chrome Rookie,Baseball,2018,220,Rare,No,shohei-ohtani-topps-chrome-rookie.png,shohei-ohtani-topps-chrome-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Shohei Ohtani,Topps Chrome Update Rookie,Baseball,2018,240,Rare,No,shohei-ohtani-topps-chrome-update-rookie.png,shohei-ohtani-topps-chrome-update-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Shohei Ohtani,Topps Update Rookie,Baseball,2018,150,Rare,No,shohei-ohtani-topps-update-rookie.png,shohei-ohtani-topps-update-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Tom Brady,Bowman Rookie,Football,2000,800,Rare,No,tom-brady-bowman-rookie.png,tom-brady-bowman-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Tom Brady,Bowman Chrome Rookie,Football,2000,1800,Rare,No,tom-brady-bowman-chrome-rookie.png,tom-brady-bowman-chrome-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
Patrick Mahomes,Donruss Rated Rookie,Football,2017,430,Uncommon,No,patrick-mahomes-donruss-rated-rookie.png,patrick-mahomes-donruss-rated-rookie.jpg,"Real card identity; baseline value is an approximate price-guide-style seed for prototype comps, not a verified live sale."
